subject_id,subject_name,professor,user_major,wishlist_actions,timetable_actions,unique_users
11196,지질해양학1,김영균,해양학과,1,6,7
11212,섬유소재이해,조윤경,패션산업학과,3,7,7
11236,일반생물학(1),미배정,화학과,1,7,7
11240,일반화학(1),방지원,화학과,1,7,7
11250,물리화학실험,방지원,화학과,0,7,7
11251,물리화학실험,이창민,화학과,1,7,7
11255,유기화학(3),김태현,화학과,1,6,7
11286,반도체물리학,이진호,물리학과,1,7,7
11322,중국어듣기와말하기(1),청웨이웨이,중어중국학과,1,7,7
11326,근대중국의개혁과혁명,이용운,중어중국학과,1,7,7
11335,중국학연구종합설계,장정아,중어중국학과,2,6,7
11349,실천일본어회화(1),나카무라유리,일본지역문화학과,2,7,7
11350,일본의지역지리,다무라 후미노리,일본지역문화학과,1,7,7
11446,중급독일어A2 1,슈텔레 에바,독어독문학과,1,6,7
11470,영작문(2),알라나 커밍스,영어영문학과,0,7,7
11473,영어학입문,김정태,영어영문학과,1,7,7
11481,영국문학사,하인혜,영어영문학과,3,6,7
11523,Academic English,김연정,전자공학부,2,7,7
11592,Academic English,김연정,자유전공학부,2,6,7
11730,AI시대의글쓰기이론과실제,윤숙,자유전공학부,2,5,7
11762,AI사고와데이터리터러시,황태준,디자인학부,4,5,7
11766,AI사고와데이터리터러시,김백현,도시건축학부,2,7,7
9092,공직사회의이해,미배정,법학부,5,1,6
9155,MBTI로찾아가는나의책,박상원,디자인학부,2,4,6
9155,MBTI로찾아가는나의책,박상원,전기공학과,4,3,6
9199,심리학의이해,서신화,패션산업학과,2,5,6
9200,심리학의이해,박준성,임베디드시스템공학과,2,5,6
9201,심리학의이해,서신화,경영학부,2,5,6
9207,영화속으로들어간클래식음악,김상림,경영학부,2,5,6
9288,기업가정신,창업지원단,경영학부,3,4,6
9300,대중매체속바이오테크놀로지,예정용,경영학부,1,5,6
9300,대중매체속바이오테크놀로지,예정용,컴퓨터공학부,2,5,6
9345,성격과인간심리의이해,서신화,세무회계학과,2,5,6
