day_of_week,start_time,end_time,subject_count,wishlist_count,wishlist_user_count,timetable_count,timetable_user_count,total_saved_actions
목,5.5,8.5,11,34.0,34.0,38.0,38.0,72.0
수,4.0,5.0,4,23.0,23.0,49.0,49.0,72.0
금,5.5,8.5,5,24.0,24.0,42.0,42.0,66.0
금,1.0,3.0,24,17.0,17.0,48.0,48.0,65.0
수,7.0,9.0,12,18.0,18.0,44.0,44.0,62.0
수,7.0,8.0,5,21.0,21.0,41.0,41.0,62.0
화,2.0,3.0,4,17.0,17.0,42.0,42.0,59.0
수,5.0,8.0,9,17.0,17.0,41.0,41.0,58.0
화,3.0,6.0,4,24.0,24.0,32.0,32.0,56.0
화,0.0,1.0,5,13.0,13.0,42.0,42.0,55.0
화,10.0,12.0,14,24.0,24.0,29.0,29.0,53.0
금,1.0,2.0,7,15.0,15.0,37.0,37.0,52.0
수,4.0,6.0,12,21.0,21.0,30.0,30.0,51.0
수,10.0,13.0,11,19.0,19.0,30.0,30.0,49.0
월,3.0,5.0,27,15.0,15.0,33.0,33.0,48.0
월,3.0,4.0,10,15.0,15.0,32.0,32.0,47.0
토,1.0,2.0,2,10.0,10.0,36.0,36.0,46.0
금,7.0,9.0,7,14.0,14.0,30.0,30.0,44.0
수,6.0,10.0,6,7.0,7.0,37.0,37.0,44.0
목,1.0,2.0,2,8.0,8.0,36.0,36.0,44.0
화,9.0,10.0,12,21.0,21.0,22.0,22.0,43.0
수,8.0,9.0,2,18.0,18.0,23.0,23.0,41.0
목,4.0,5.0,6,10.0,10.0,30.0,30.0,40.0
금,8.0,10.0,9,9.0,9.0,29.0,29.0,38.0
금,4.0,6.0,8,11.0,11.0,26.0,26.0,37.0
월,4.0,5.0,5,11.0,11.0,26.0,26.0,37.0
목,9.0,10.0,4,11.0,11.0,26.0,26.0,37.0
화,10.0,11.5,3,13.0,13.0,24.0,24.0,37.0
수,10.0,12.0,14,9.0,9.0,27.0,27.0,36.0
월,7.0,8.0,10,12.0,12.0,24.0,24.0,36.0
수,3.0,6.0,6,15.0,15.0,21.0,21.0,36.0
화,5.0,6.0,7,10.0,10.0,24.0,24.0,34.0
화,7.0,8.0,2,3.0,3.0,30.0,30.0,33.0
월,6.0,10.0,15,2.0,2.0,30.0,30.0,32.0
수,6.0,7.0,8,9.0,9.0,23.0,23.0,32.0
화,4.0,5.0,4,8.0,8.0,24.0,24.0,32.0
목,10.0,11.5,4,7.0,7.0,24.0,24.0,31.0
토,2.0,3.0,2,5.0,5.0,26.0,26.0,31.0
금,2.5,5.5,4,10.0,10.0,20.0,20.0,30.0
화,1.0,2.0,3,5.0,5.0,25.0,25.0,30.0
토,3.0,4.0,2,11.0,11.0,19.0,19.0,30.0
토,4.0,5.0,2,9.0,9.0,21.0,21.0,30.0
토,6.0,7.0,2,10.0,10.0,20.0,20.0,30.0
목,6.0,10.0,8,6.0,6.0,23.0,23.0,29.0
토,5.0,6.0,2,7.0,7.0,22.0,22.0,29.0
목,1.0,5.0,12,4.0,4.0,24.0,24.0,28.0
금,0.0,1.0,2,5.0,5.0,23.0,23.0,28.0
월,5.0,8.0,8,8.0,8.0,19.0,19.0,27.0
수,3.0,4.0,5,5.0,5.0,21.0,21.0,26.0
목,6.0,9.0,4,12.0,12.0,14.0,14.0,26.0
목,10.0,12.0,16,10.0,10.0,15.0,15.0,25.0
금,6.0,8.0,10,7.0,7.0,18.0,18.0,25.0
금,3.0,6.0,1,8.0,8.0,17.0,17.0,25.0
월,1.0,5.0,5,9.0,9.0,15.0,15.0,24.0
수,2.0,3.0,4,9.0,9.0,15.0,15.0,24.0
금,6.0,10.0,5,6.0,6.0,17.0,17.0,23.0
목,3.0,6.0,3,7.0,7.0,16.0,16.0,23.0
금,7.0,8.0,2,13.0,13.0,9.0,9.0,22.0
목,3.0,4.0,6,7.0,7.0,14.0,14.0,21.0
월,10.0,12.0,4,7.0,7.0,14.0,14.0,21.0
화,3.0,4.0,3,10.0,10.0,11.0,11.0,21.0
수,0.0,1.0,3,5.0,5.0,16.0,16.0,21.0
금,1.0,5.0,8,7.0,7.0,13.0,13.0,20.0
금,10.0,13.0,2,10.0,10.0,10.0,10.0,20.0
토,1.0,2.5,2,4.0,4.0,16.0,16.0,20.0
금,8.5,10.0,3,2.0,2.0,17.0,17.0,19.0
목,8.0,9.0,2,5.0,5.0,14.0,14.0,19.0
목,6.0,7.0,3,6.0,6.0,12.0,12.0,18.0
목,7.0,8.0,3,5.0,5.0,12.0,12.0,17.0
목,9.0,11.0,1,6.0,6.0,11.0,11.0,17.0
화,6.0,7.0,4,3.0,3.0,13.0,13.0,16.0
금,10.0,12.0,4,3.0,3.0,13.0,13.0,16.0
수,1.0,5.0,2,1.0,1.0,15.0,15.0,16.0
수,4.0,8.0,2,5.0,5.0,11.0,11.0,16.0
월,6.0,7.0,4,4.0,4.0,11.0,11.0,15.0
금,5.0,9.0,2,5.0,5.0,10.0,10.0,15.0
토,0.0,1.0,1,5.0,5.0,10.0,10.0,15.0
수,1.0,7.0,3,4.0,4.0,10.0,10.0,14.0
화,8.0,9.0,4,4.0,4.0,9.0,9.0,13.0
수,1.0,2.0,4,5.0,5.0,8.0,8.0,13.0
월,9.0,10.0,3,5.0,5.0,8.0,8.0,13.0
금,3.0,4.0,3,4.0,4.0,9.0,9.0,13.0
화,5.0,9.0,1,4.0,4.0,9.0,9.0,13.0
월,2.5,5.5,2,4.0,4.0,8.0,8.0,12.0
수,10.0,11.5,2,7.0,7.0,5.0,5.0,12.0
금,4.0,5.0,2,2.0,2.0,10.0,10.0,12.0
월,11.0,14.0,1,3.0,3.0,9.0,9.0,12.0
목,4.0,8.0,2,3.0,3.0,8.0,8.0,11.0
월,1.0,7.0,1,3.0,3.0,8.0,8.0,11.0
월,10.0,11.5,1,6.0,6.0,5.0,5.0,11.0
목,1.0,7.0,3,3.0,3.0,7.0,7.0,10.0
월,9.0,11.0,2,5.0,5.0,5.0,5.0,10.0
월,2.0,3.0,1,2.0,2.0,8.0,8.0,10.0
금,2.0,3.0,1,5.0,5.0,5.0,5.0,10.0
월,3.0,6.0,3,2.0,2.0,7.0,7.0,9.0
월,0.0,1.0,2,2.0,2.0,7.0,7.0,9.0
월,5.0,6.0,2,1.0,1.0,8.0,8.0,9.0
목,0.0,1.0,2,4.0,4.0,5.0,5.0,9.0
화,1.0,5.0,5,3.0,3.0,5.0,5.0,8.0
화,10.0,11.0,2,2.0,2.0,6.0,6.0,8.0
수,17.5,19.0,1,5.0,5.0,3.0,3.0,8.0
토,3.0,7.0,1,1.0,1.0,7.0,7.0,8.0
수,5.0,9.0,3,1.0,1.0,6.0,6.0,7.0
화,6.0,10.0,2,2.0,2.0,5.0,5.0,7.0
월,7.0,13.0,1,6.0,6.0,1.0,1.0,7.0
목,5.0,9.0,1,2.0,2.0,5.0,5.0,7.0
금,1.0,7.0,3,3.0,3.0,3.0,3.0,6.0
수,5.0,6.0,2,3.0,3.0,3.0,3.0,6.0
