source,subject_id_a,subject_name_a,professor_a,subject_id_b,subject_name_b,professor_b,co_user_count
timetable,10041,도시행정학,미배정,10044,도시사회학이론,최혜민,6
timetable,10048,도시조사분석방법론,최승준,10049,정부예산과경제,윤광진,6
timetable,10156,일본어문법,최은혁,10157,일본어학개론,조선영,6
timetable,10156,일본어문법,최은혁,10158,일본문화,하야사와 마사토,6
timetable,10157,일본어학개론,조선영,10158,일본문화,하야사와 마사토,6
timetable,10216,운동과스포츠생리학,황문현,10220,기능해부학,홍성현,6
timetable,10281,기초기능해부학,전경규,12006,대학영어회화1,캘럼 맥코,6
timetable,10282,웨이트트레이닝기초,김연휘,10287,운동생리학,이세원,6
timetable,10285,스포츠사회학,임새미,10287,운동생리학,이세원,6
timetable,10286,스포츠사회학,임새미,10290,농구,미배정,6
timetable,10286,스포츠사회학,임새미,12009,대학영어회화1,유원,6
timetable,10299,트레이닝방법론,변경호,10307,스포츠코칭,박상혁,6
timetable,10367,디자인 Thinking,이서진,10370,영상과디자인,유동현,6
timetable,10380,GUI디자인,이운형,10382,그래픽디자인,김시연,6
timetable,10380,GUI디자인,이운형,11984,대학영어회화1,캘럼 맥코,6
timetable,10381,그래픽디자인,김시연,10384,디자인구현프로그래밍,박동명,6
timetable,10397,비주얼스토리텔링,박지연,10401,시각디자인,이서진,6
timetable,10457,경영학원론,박현준,11572,Academic English,김상조,6
timetable,10458,회계원리(1),유영태,10460,세법총론,전흥재,6
timetable,10459,회계원리(1),유영태,11572,Academic English,김상조,6
timetable,10460,세법총론,전흥재,10464,원가회계,최평국,6
timetable,10460,세법총론,전흥재,10466,중급회계(1),김광태,6
timetable,10461,세법총론,전흥재,11572,Academic English,김상조,6
timetable,10475,데이터과학개론,박준성,10477,데이터과학을위한계량경영학,박준성,6
timetable,10475,데이터과학개론,박준성,10479,데이터애널리틱스,전용호,6
timetable,10479,데이터애널리틱스,전용호,10481,인공지능과머신러닝,이채현,6
timetable,10500,경영과학,김서영,10505,마케팅원론,허승,6
timetable,10517,전략경영,박현준,10519,SCM,김태호,6
timetable,10517,전략경영,박현준,10524,기업재무론,전용호,6
timetable,10552,마이크로컨트롤러구조,황광일,10556,임베디드구조,김현범,6
timetable,10555,운영체제,강석훈,10557,캡스턴디자인(1),황광일,6
timetable,10566,프로그래밍(1),김도엽,11552,Academic English,김상조,6
timetable,10575,ICT공학수학,김경원,10583,회로이론,전현채,6
timetable,10583,회로이론,전현채,10590,확률이론,안승환,6
timetable,10584,리눅스기초및프로그래밍,김영필,10586,전자계산기구조,조원서,6
timetable,10591,통신공학이론,이병주,10595,빅데이터프로그래밍,안승환,6
timetable,10621,이산수학,김지범,10622,컴퓨터공학개론,전혜경,6
timetable,10631,데이터프로그래밍,이장호,10636,Java언어,허혜선,6
timetable,10633,자료구조,안재균,10643,정보보호개론,민병준,6
timetable,10634,자료구조,안재균,10640,시뮬레이션 기초 및 실습,김지범,6
timetable,10634,자료구조,안재균,10642,정보보호개론,민병준,6
timetable,10635,Java언어,허혜선,10639,디지털공학,김우일,6
timetable,10635,Java언어,허혜선,11938,대학영어회화1,코리 로슨,6
timetable,10639,디지털공학,김우일,10640,시뮬레이션 기초 및 실습,김지범,6
timetable,10641,시뮬레이션 기초 및 실습,김지범,11939,대학영어회화1,"캘럼 맥코
트",6
timetable,10644,기계학습,이상엽,10648,데이터베이스,이상엽,6
timetable,10648,데이터베이스,이상엽,10651,운영체제,한재현,6
timetable,10648,데이터베이스,이상엽,10654,데이터통신,최승식,6
timetable,10651,운영체제,한재현,10658,컴파일러설계,홍윤식,6
timetable,10654,데이터통신,최승식,10658,컴파일러설계,홍윤식,6
timetable,10673,대학수학(1),우현명,10676,공학프로그래밍,김우용,6
timetable,10674,화학생물,이탁기,10676,공학프로그래밍,김우용,6
timetable,10676,공학프로그래밍,김우용,10677,자기설계세미나,박상인,6
timetable,10676,공학프로그래밍,김우용,10678,정역학,박상인,6
timetable,10680,전기회로실험,조영욱,10681,공업수학(2),윤종윤,6
timetable,10680,전기회로실험,조영욱,10682,재료역학,한유성,6
timetable,10680,전기회로실험,조영욱,10683,전기회로,조영욱,6
timetable,10685,설계공학,박상인,10690,생체신호및시스템,정현두,6
timetable,10685,설계공학,박상인,10691,수치해석,한유성,6
timetable,10686,자동제어,김우용,10690,생체신호및시스템,정현두,6
timetable,10686,자동제어,김우용,10691,수치해석,한유성,6
timetable,10690,생체신호및시스템,정현두,10693,확률및통계,우현명,6
timetable,10707,유체역학,박민범,10715,고분자공학,박영돈,6
timetable,10707,유체역학,박민범,10717,화공수치해석개론,김종우,6
timetable,10710,공정설계및제어,김종우,10713,에너지화공기초실험,노윤호,6
timetable,10710,공정설계및제어,김종우,10717,화공수치해석개론,김종우,6
timetable,10713,에너지화공기초실험,노윤호,10714,열전달,이재훈,6
timetable,10714,열전달,이재훈,10715,고분자공학,박영돈,6
timetable,10742,방화공학,이민철,10743,산업안전심리,백동현,6
timetable,10752,에너지재료공학개론,이미경,11918,대학영어회화1,"티모시 톰
슨",6
timetable,10755,현대물리학,이한보람,11918,대학영어회화1,"티모시 톰
슨",6
timetable,10758,재료컴퓨터해석,장태후,10761,재료물리화학(2),장태후,6
timetable,10758,재료컴퓨터해석,장태후,10762,재료전자기학,장태후,6
timetable,10759,반도체나노공정1,이한보람,10762,재료전자기학,장태후,6
timetable,10773,확률및통계(1),류도현,10776,인간공학,최서빈,6
timetable,10773,확률및통계(1),류도현,10778,확정적경영과학,이종헌,6
timetable,10774,확률및통계(1),류도현,10775,인간공학,최서빈,6
timetable,10774,확률및통계(1),류도현,11917,대학영어회화1,"티모시 톰
슨",6
timetable,10776,인간공학,최서빈,11917,대학영어회화1,"티모시 톰
슨",6
timetable,10776,인간공학,최서빈,11920,대학영어회화1,"캘럼 맥코
트",6
timetable,10778,확정적경영과학,이종헌,11917,대학영어회화1,"티모시 톰
슨",6
timetable,10779,데이터베이스,이세린,11917,대학영어회화1,"티모시 톰
슨",6
timetable,10781,제품개발프로세스,박기정,10785,데이터마이닝,류도현,6
timetable,10783,품질공학,정영배,10786,생산통제,김병수,6
timetable,10786,생산통제,김병수,10788,최적화모형및응용,이종헌,6
timetable,10796,회로이론및실습,송준영,10823,복소함수및벡터,구경헌,6
timetable,10796,회로이론및실습,송준영,10835,전자기학,서정현,6
timetable,10799,회로이론,박창주,10830,디지털실험,이경순,6
timetable,10800,회로이론,김태훈,10836,전자기학,서정현,6
timetable,10802,전파공학,윤영노,10839,반도체소자,정은교,6
timetable,10802,전파공학,윤영노,10853,인공지능,조환호,6
timetable,10803,전파공학,윤영노,10852,신호및시스템,변상원,6
timetable,10810,대학수학(1),이혜경,10819,소프트웨어입문,김교선,6
timetable,10816,선형대수학,변윤식,10819,소프트웨어입문,김교선,6
timetable,10823,복소함수및벡터,구경헌,10826,스마트시스템입문,조정완,6
timetable,10824,스마트시스템입문,김영현,10838,프로그래밍언어,최욱,6
timetable,10829,디지털실험,김영현,10836,전자기학,서정현,6
timetable,10830,디지털실험,이경순,10838,프로그래밍언어,최욱,6
timetable,10840,반도체소자,정은교,10854,인공지능,조환호,6
timetable,10844,전자회로,유종근,10849,전자회로실험,이병진,6
timetable,10850,전자회로실험,이병진,10853,인공지능,조환호,6
timetable,10852,신호및시스템,변상원,10853,인공지능,조환호,6
timetable,10868,공학수학(1),안덕주,10870,전기.전자기초실험,김준석,6
timetable,10868,공학수학(1),안덕주,10876,회로이론(1),정영식,6
timetable,10868,공학수학(1),안덕주,10878,기초반도체공학,MORE VIVEK MOHAN,6
timetable,10869,공학수학(1),안덕주,10881,전기에너지와이노베이션,김학만,6
timetable,10875,전자기학(1),이우찬,10878,기초반도체공학,MORE VIVEK MOHAN,6
timetable,10875,전자기학(1),이우찬,10880,응용선형대수,이동길,6
timetable,10875,전자기학(1),이우찬,12051,대학영어회화1,데이비드,6
timetable,10878,기초반도체공학,MORE VIVEK MOHAN,10881,전기에너지와이노베이션,김학만,6
timetable,10883,전기실험(2),윤주형,10891,신호및시스템,이명훈,6
timetable,10883,전기실험(2),윤주형,10894,전기응용,우정민,6
timetable,10884,전기실험(2),윤주형,10888,전기물성론,김준동,6
timetable,10884,전기실험(2),윤주형,10889,전력전자공학,최현규,6
timetable,10884,전기실험(2),윤주형,10892,에너지발생 및 운용,김용하,6
timetable,10886,전기기기(1),강동우,10889,전력전자공학,최현규,6
timetable,10889,전력전자공학,최현규,10893,인공지능개론,이명훈,6
timetable,10896,무선에너지변환,안덕주,10897,송배전설계,서재완,6
timetable,10896,무선에너지변환,안덕주,10898,신재생에너지공학,김학만,6
timetable,10936,고체역학1,박동삼,10941,기계재료,전태성,6
timetable,10936,고체역학1,박동삼,10943,기계재료,이태선,6
timetable,10936,고체역학1,박동삼,11882,대학영어회화1,"캘럼 맥코
트",6
timetable,10937,고체역학1,박형범,10943,기계재료,이태선,6
timetable,10940,공업열역학1,김상문,10943,기계재료,이태선,6
timetable,10940,공업열역학1,김상문,10945,전기전자공학개론,김태우,6
timetable,10949,수치해석,김백진,10961,유체역학(2),한민섭,6
timetable,10950,수치해석,한민섭,10956,기계공작법,구상모,6
timetable,10950,수치해석,한민섭,10961,유체역학(2),한민섭,6
timetable,10953,응용기계수학1,신성수,10954,기계공작법,이태선,6
timetable,10954,기계공작법,이태선,10961,유체역학(2),한민섭,6
timetable,10956,기계공작법,구상모,10958,기계진동,남동호,6
timetable,10966,MEMS개론,김경태,10968,기계공학실험,남동호,6
timetable,11016,e-biz개론,유병국,11027,국제통상론,고보민,6
timetable,11017,국제무역론,이윤,11024,물류개론,안영효,6
timetable,11017,국제무역론,이윤,11033,국제무역보험론,김규진,6
timetable,11018,국제무역론,이윤,11023,물류개론,안영효,6
timetable,11025,물류개론,안영효,11033,국제무역보험론,김규진,6
timetable,11027,국제통상론,고보민,11030,국제거래규범,김규진,6
timetable,11027,국제통상론,고보민,11033,국제무역보험론,김규진,6
timetable,11030,국제거래규범,김규진,11036,서비스마케팅론,이루리,6
timetable,11036,서비스마케팅론,이루리,11037,통계실습,유병국,6
timetable,11056,경제통계기초,김선진,11059,미시경제학,오태희,6
timetable,11058,경제사,양준호,11063,수리경제학,이장연,6
timetable,11058,경제사,양준호,11064,시사경제1,황선길,6
timetable,11059,미시경제학,오태희,11064,시사경제1,황선길,6
timetable,11059,미시경제학,오태희,11065,정치경제학,이갑영,6
timetable,11066,공정경쟁과산업분석,이기환,11070,농업과푸드시스템의경제학,이명헌,6
timetable,11069,기초계량경제학,오태희,11071,화폐금융론,황상연,6
timetable,11128,기록과사회,신정엽,11751,AI사고와데이터리터러시,이선아,6
timetable,11129,문헌정보학개론,황정의,11751,AI사고와데이터리터러시,이선아,6
timetable,11130,자료목록법,황정의,11132,데이터분석과시각화,장수현,6
timetable,11134,기록관리,조재인,11135,정보시스템구축론,박종도,6
timetable,11148,광고입문,박진성,11150,디지털영상제작(1),장태희,6
timetable,11220,현대패션콘텐츠,박은경,11223,패션디자인스튜디오I,이현승,6
timetable,11231,대학수학(1),이정찬,11232,일반물리학(1),미배정,6
timetable,11231,대학수학(1),이정찬,11236,일반생물학(1),미배정,6
timetable,11231,대학수학(1),이정찬,11240,일반화학(1),방지원,6
timetable,11232,일반물리학(1),미배정,11236,일반생물학(1),미배정,6
timetable,11232,일반물리학(1),미배정,11240,일반화학(1),방지원,6
timetable,11236,일반생물학(1),미배정,11240,일반화학(1),방지원,6
timetable,11249,무기화학(1),김강우,11250,물리화학실험,방지원,6
timetable,11249,무기화학(1),김강우,11251,물리화학실험,이창민,6
timetable,11249,무기화학(1),김강우,11253,생화학(1),강동구,6
timetable,11276,일반역학(1),김병훈,11279,물리프로그래밍,엇후 도르츠,6
timetable,11278,물리연구소개,박영미,11281,수리물리학(1),엇후 도르츠,6
timetable,11282,계측실험1,김진영,11284,양자역학(1),이기훈,6
timetable,11284,양자역학(1),이기훈,11286,반도체물리학,이진호,6
timetable,11285,전자기학(2),박영미,11286,반도체물리학,이진호,6
timetable,11304,해석학(1),문병수,11306,매듭론,배영진,6
timetable,11308,미분기하학(1),유성민,11311,수리통계학응용,최원,6
timetable,11309,복소함수론1,김인현,11311,수리통계학응용,최원,6
timetable,11319,중국사개론,이용운,11320,기초중국어1,최윤경,6
timetable,11328,중국전통사상,조봉래,11329,중국학강독,조봉래,6
timetable,11328,중국전통사상,조봉래,11330,중국학강독,이재천,6
timetable,11469,영어회화(3),알라나 커밍스,11472,영어학입문,김정태,6
timetable,11592,Academic English,김연정,11730,AI시대의글쓰기이론과실제,윤숙,6
wishlist,9045,(HUSS국립부경대)과거사청산과포용의문화,미배정,9049,(HUSS국립부경대)사회복지역사,미배정,6
wishlist,9045,(HUSS국립부경대)과거사청산과포용의문화,미배정,9065,(HUSS)디지털포용과스타트업창업실무,박영은,6
wishlist,9046,(HUSS대구대)오디세이프로젝트3전쟁과평화,미배정,9047,(HUSS서강대)인물로본포용사회의역사,미배정,6
wishlist,9046,(HUSS대구대)오디세이프로젝트3전쟁과평화,미배정,9048,(HUSS서강대)포용사회주제세미나,미배정,6
wishlist,9046,(HUSS대구대)오디세이프로젝트3전쟁과평화,미배정,9049,(HUSS국립부경대)사회복지역사,미배정,6
wishlist,9047,(HUSS서강대)인물로본포용사회의역사,미배정,9049,(HUSS국립부경대)사회복지역사,미배정,6
wishlist,9048,(HUSS서강대)포용사회주제세미나,미배정,9049,(HUSS국립부경대)사회복지역사,미배정,6
wishlist,9155,MBTI로찾아가는나의책,박상원,9198,심리학의이해,박준성,6
wishlist,9198,심리학의이해,박준성,9202,심리학의이해,서신화,6
wishlist,9198,심리학의이해,박준성,9345,성격과인간심리의이해,서신화,6
wishlist,9199,심리학의이해,서신화,9345,성격과인간심리의이해,서신화,6
wishlist,9200,심리학의이해,박준성,9201,심리학의이해,서신화,6
wishlist,9202,심리학의이해,서신화,9206,영화속바이러스의이해,예정용,6
wishlist,9203,알기쉬운통계원리,최원,9207,영화속으로들어간클래식음악,김상림,6
wishlist,9206,영화속바이러스의이해,예정용,9275,결혼과가족,류민영,6
wishlist,9280,경제적자유를위한투자기술,유영태,9341,생활속의경제원리,오경희,6
wishlist,9302,동물과인간사회,이종구,9337,삶과천문학,김민수,6
wishlist,9313,문학의숲에서치유를만나다,전미정,9345,성격과인간심리의이해,서신화,6
wishlist,9367,연극예술과문화생활,박근수,9375,영화예술과문화생활,박근수,6
wishlist,9684,민사소송법(1),김호,9688,국제투자법,장석영,6
wishlist,10364,평면과디자인,문해원,10367,디자인 Thinking,이서진,6
wishlist,10385,레이아웃디자인,전혜연,10386,레이아웃디자인,전혜연,6
wishlist,10489,경영학원론,박현준,10492,회계원리,이현주,6
wishlist,10489,경영학원론,박현준,10493,회계원리,이현주,6
wishlist,10491,회계원리,이창현,10492,회계원리,이현주,6
