subject_id,course_code,semester,active,subject_name,professor,department,grade,subject_type,class_method,credits,is_night,schedule_count,schedule_text
9087,,,True,광전자물리학,한강희,광전자공학전공(연계),,전핵,OFFLINE,3,False,2,"화 5.5-7, 목 5.5-7"
9088,,,True,광전자반도체소자,문병희,광전자공학전공(연계),,전심,OFFLINE,3,False,2,"월 5.5-7, 수 2.5-4"
9089,,,True,INU 리더십특강,취업경력개발원,일선,,일선,OFFLINE,1,False,1,화 7-9
9090,,,True,NCS의 이해,취업경력개발원,일선,,일선,OFFLINE,1,False,1,수 6-8
9091,,,True,NCS의 이해,취업경력개발원,일선,,일선,OFFLINE,1,False,1,수 8-10
9092,,,True,공직사회의이해,미배정,일선,,일선,OFFLINE,1,False,1,수 3-5
9093,,,True,공직사회의이해,미배정,일선,,일선,OFFLINE,1,False,1,수 1-3
9094,,,True,글로벌 창업가 정신,창업지원단,일선,,일선,OFFLINE,3,False,1,월 7-10
9095,,,True,산학캡스톤디자인,김경태,일선,,일선,OFFLINE,3,False,2,"목 7-9, 토 2-4"
9096,,,True,생활속의창업특허,창업지원단,일선,,일선,OFFLINE,3,False,1,목 4-7
9097,,,True,성공창업전략,최병조,일선,,일선,OFFLINE,3,False,1,월 4-7
9098,,,True,성인학습및상담론,박선영,일선,,일선,OFFLINE,3,False,1,화 7-10
9099,,,True,스타트업물류사례및트랜드,최병조,일선,,일선,OFFLINE,3,False,1,월 1-4
9100,,,True,스타트업비즈니스매너,창업지원단,일선,,일선,OFFLINE,3,False,1,목 1-4
9101,,,True,스타트업앱비즈니스모델,최병조,일선,,일선,OFFLINE,3,False,1,수 7-10
9102,,,True,스타트업트랜드,최병조,일선,,일선,OFFLINE,3,False,1,목 7-10
9103,,,True,아이디어와 창업,최병조,일선,,일선,OFFLINE,3,False,1,화 7-10
9104,,,True,창업마케팅AtoZ,최병조,일선,,일선,OFFLINE,3,False,1,수 4-7
9105,,,True,창업프로젝트실습1,창업지원단,일선,,일선,OFFLINE,3,False,1,수 7-10
9106,,,True,창업프로젝트실습1,최병조,일선,,일선,OFFLINE,3,False,1,월 7-10
9107,,,True,창업프로젝트실습3,안혜신,일선,,일선,OFFLINE,6,True,2,"월 10-13, 수 10-13"
9108,,,True,커리어로드맵,취업경력개발원,일선,,일선,OFFLINE,1,False,0,
9109,,,True,패션브랜드창업의이해,창업지원단,일선,,일선,OFFLINE,2,False,1,수 2-4
9110,,,True,평생교육론,이은경,일선,,일선,OFFLINE,3,False,1,금 2-5
9111,,,True,평생교육방법론,우성미,일선,,일선,OFFLINE,3,False,1,화 7-10
9112,,,True,해양경찰학개론,김병로,일선,,일선,OFFLINE,3,False,1,화 2-5
9113,,,True,직업기초능력1,이원철,일선,4.0,일선,OFFLINE,3,True,1,화 10-13
9114,,,True,직업기초능력2,미배정,일선,4.0,일선,OFFLINE,2,True,1,수 10-12
9115,,,True,핵심취업전략특강,취업경력개발원,일선,4.0,일선,OFFLINE,1,False,1,목 3-5
9116,,,True,핵심취업전략특강,취업경력개발원,일선,4.0,일선,OFFLINE,1,False,1,목 1-3
9117,,,True,교육철학및교육사,윤선인,교직,1.0,교직,OFFLINE,2,False,1,목 4-6
9118,,,True,교육철학및교육사,윤선인,교직,1.0,교직,OFFLINE,2,False,1,목 2-4
9119,,,True,교육학개론,윤선인,교직,1.0,교직,OFFLINE,2,False,1,금 4-6
9120,,,True,교육학개론,윤선인,교직,1.0,교직,OFFLINE,2,False,1,금 2-4
9121,,,True,디지털교육,최두호,교직,1.0,교직,OFFLINE,1,True,1,화 11-12
9122,,,True,디지털교육,최두호,교직,1.0,교직,OFFLINE,1,True,1,화 10-11
9123,,,True,교육심리,안동근,교직,2.0,교직,OFFLINE,2,False,1,금 3-5
9124,,,True,교육심리,안동근,교직,2.0,교직,OFFLINE,2,False,1,금 6-8
9125,,,True,교육평가,김성연,교직,2.0,교직,OFFLINE,2,False,1,월 4-6
9126,,,True,교육평가,김성연,교직,2.0,교직,OFFLINE,2,False,1,목 4-6
9127,,,True,지속가능한미래교육,윤선인,교직,2.0,교직,OFFLINE,2,False,1,목 7-9
9128,,,True,교육과정,미배정,교직,3.0,교직,OFFLINE,2,True,1,월 10-12
9129,,,True,교육과정,미배정,교직,3.0,교직,OFFLINE,2,False,1,목 7-9
9130,,,True,교육과정,미배정,교직,3.0,교직,OFFLINE,2,True,1,화 10-12
9131,,,True,교육행정및교육경영,한은정,교직,3.0,교직,OFFLINE,2,False,1,월 5-7
9132,,,True,교육행정및교육경영,한은정,교직,3.0,교직,OFFLINE,2,False,1,월 2-4
9133,,,True,교직실무,한은정,교직,3.0,교직,OFFLINE,2,False,1,수 5-7
9134,,,True,학교현장실습I:교육현장컨설팅,한은정,교직,3.0,교직,OFFLINE,1,False,1,월 4-5
9135,,,True,교육방법및교육공학,신원석,교직,4.0,교직,OFFLINE,2,False,1,수 2-4
9136,,,True,교육방법및교육공학,신원석,교직,4.0,교직,OFFLINE,2,False,1,수 4-6
9137,,,True,교육봉사활동,김윤신,교직,4.0,교직,OFFLINE,2,False,0,
9138,,,True,교육봉사활동,윤영돈,교직,4.0,교직,OFFLINE,2,False,0,
9139,,,True,교육봉사활동,김성자,교직,4.0,교직,OFFLINE,2,False,0,
9140,,,True,교육봉사활동,정윤주,교직,4.0,교직,OFFLINE,2,False,0,
9141,,,True,교육봉사활동,이승용,교직,4.0,교직,OFFLINE,2,False,0,
9142,,,True,교육봉사활동,윤영훈,교직,4.0,교직,OFFLINE,2,False,0,
