schedule_id,subject_id,subject_name,professor,department,grade,subject_type,day_of_week,start_time,end_time,duration
11350,9099,스타트업물류사례및트랜드,최병조,일선,,일선,월,1.0,4.0,3.0
11351,9100,스타트업비즈니스매너,창업지원단,일선,,일선,목,1.0,4.0,3.0
11352,9101,스타트업앱비즈니스모델,최병조,일선,,일선,수,7.0,10.0,3.0
11353,9102,스타트업트랜드,최병조,일선,,일선,목,7.0,10.0,3.0
11354,9103,아이디어와 창업,최병조,일선,,일선,화,7.0,10.0,3.0
11355,9104,창업마케팅AtoZ,최병조,일선,,일선,수,4.0,7.0,3.0
11356,9105,창업프로젝트실습1,창업지원단,일선,,일선,수,7.0,10.0,3.0
11357,9106,창업프로젝트실습1,최병조,일선,,일선,월,7.0,10.0,3.0
11358,9107,창업프로젝트실습3,안혜신,일선,,일선,월,10.0,13.0,3.0
11359,9107,창업프로젝트실습3,안혜신,일선,,일선,수,10.0,13.0,3.0
11360,9109,패션브랜드창업의이해,창업지원단,일선,,일선,수,2.0,4.0,2.0
11361,9110,평생교육론,이은경,일선,,일선,금,2.0,5.0,3.0
11362,9111,평생교육방법론,우성미,일선,,일선,화,7.0,10.0,3.0
11363,9112,해양경찰학개론,김병로,일선,,일선,화,2.0,5.0,3.0
11364,9113,직업기초능력1,이원철,일선,4.0,일선,화,10.0,13.0,3.0
11365,9114,직업기초능력2,미배정,일선,4.0,일선,수,10.0,12.0,2.0
11366,9115,핵심취업전략특강,취업경력개발원,일선,4.0,일선,목,3.0,5.0,2.0
11367,9116,핵심취업전략특강,취업경력개발원,일선,4.0,일선,목,1.0,3.0,2.0
11368,9117,교육철학및교육사,윤선인,교직,1.0,교직,목,4.0,6.0,2.0
11369,9118,교육철학및교육사,윤선인,교직,1.0,교직,목,2.0,4.0,2.0
11370,9119,교육학개론,윤선인,교직,1.0,교직,금,4.0,6.0,2.0
11371,9120,교육학개론,윤선인,교직,1.0,교직,금,2.0,4.0,2.0
11372,9121,디지털교육,최두호,교직,1.0,교직,화,11.0,12.0,1.0
11373,9122,디지털교육,최두호,교직,1.0,교직,화,10.0,11.0,1.0
11374,9123,교육심리,안동근,교직,2.0,교직,금,3.0,5.0,2.0
11375,9124,교육심리,안동근,교직,2.0,교직,금,6.0,8.0,2.0
11376,9125,교육평가,김성연,교직,2.0,교직,월,4.0,6.0,2.0
11377,9126,교육평가,김성연,교직,2.0,교직,목,4.0,6.0,2.0
11378,9127,지속가능한미래교육,윤선인,교직,2.0,교직,목,7.0,9.0,2.0
11379,9128,교육과정,미배정,교직,3.0,교직,월,10.0,12.0,2.0
11380,9129,교육과정,미배정,교직,3.0,교직,목,7.0,9.0,2.0
11381,9130,교육과정,미배정,교직,3.0,교직,화,10.0,12.0,2.0
11382,9131,교육행정및교육경영,한은정,교직,3.0,교직,월,5.0,7.0,2.0
